"X"	"Zillow_Home_ID"	"Current_Price"	"Price_Each_SQFT"	"Price_History"	"Tax_History"	"URL"	"Address"	"Zip_Code"	"Neighborhood"	"School"	"Lot_Size"	"Floor_Size"	"MLS_Number"	"Parcel_Number"	"Stories"	"Built_Year"	"Last_Remodel_Year"	"House_Type"	"Structure_Type"	"Bath_Num"	"Bed_Num"	"Room_Num"
"45"	45	2094880311	"2,45,185"	115	"03/22/17_Listed_for_sale_245,185_115_LENNAR_REALTY"	NA	"https://www.zillow.com/homedetails/2094880311_zpid/"	"9784AnsleyLakeDrJacksonville,FL32222"	"32222"	"SettlersLanding"	"4_EnterpriseLearningAcademy_PK-5_1.6mi;2_JeffersonDavisMiddle_6-8_3.5mi;2_NathanB.ForrestHigh_9-12_2.9mi"	"5,998"	"2,124"	"872857"	NA	NA	2017	NA	"SingleFamily"	NA	"2"	"3"	NA
"46"	46	2103647277	"2,60,900"	98	NA	NA	"https://www.zillow.com/homedetails/2103647277_zpid/"	"Sierraw/BonusPlan,Longleaf50'HomesitesJacksonville,FL32222"	"32222"	"ChimneyLakes"	"4_EnterpriseLearningAcademy_PK-5_0.4mi;2_JeffersonDavisMiddle_6-8_4.8mi;2_NathanB.ForrestHigh_9-12_4.3mi"	NA	"2,663"	NA	NA	2	2017	NA	"SingleFamily"	NA	"3"	"5"	NA
"47"	47	44490596	"2,25,000"	142	NA	"2015_2,892_137,885;2014_2,606_125,350;2013_1,283_96,211"	"https://www.zillow.com/homedetails/44490596_zpid/"	"3884ConcordSt,Jacksonville,FL32205"	"32205"	"Avondale"	"9_FishweirElementary_PK-5_0.4mi;2_LakeShoreMiddle_6-8_1.6mi;3_RobertE.LeeHigh_9-12_1.0mi"	NA	"1,582"	"872583"	932060000	NA	1940	NA	"SingleFamily"	NA	NA	"2"	NA
"48"	48	44497916	"3,75,000"	165	"03/21/17_Listed_for_sale_375,000_165_THE_LEGENDS_OF;02/26/03_Sold_65,000_28;Public_Record"	"2015_1,679_118,264;2014_1,680_117,326;2013_1,655_115,593"	"https://www.zillow.com/homedetails/44497916_zpid/"	"4121LondonRd,Jacksonville,FL32207"	"32207"	"Miramar"	"9_HendricksAvenueElementary_K-5_0.8mi;5_AlfredI.DupontMiddle_6-8_2.2mi;4_SamuelW.WolfsonHigh_9-12_3.0mi"	"8,205"	"2,271"	"872706"	997460000	NA	1941	2003	"SingleFamily"	"Bungalow"	"2"	"3"	NA
"49"	49	44499152	"3,95,000"	152	NA	NA	"https://www.zillow.com/homedetails/44499152_zpid/"	"4634WaverlyLn,Jacksonville,FL32210"	"32210"	"OrtegaForest"	"10_JohnStocktonElementary_K-5_0.1mi;2_LakeShoreMiddle_6-8_1.5mi;3_RobertE.LeeHigh_9-12_3.0mi"	NA	"2,598"	"872843"	1010980000	NA	1961	NA	"SingleFamily"	NA	"4"	"4"	NA
"50"	50	44414603	":03119662:155:1,1492:2004225,000"	NA	"03/21/17_Listed_for_sale_--_--_Auctioncom;06/02/16_Listing_removed_--_--_Auctioncom;05/13/16_Listed_for_sale_--_--_Auctioncom"	"2015_2,131_140,590;2014_2,133_139,475;2013_2,104_137,414"	"https://www.zillow.com/homedetails/44414603_zpid/"	"7134ElectraDrS,Jacksonville,FL32210"	"32210"	"HydePark"	"1_HydeGroveElementary_PK-5_0.6mi;2_LakeShoreMiddle_6-8_2.5mi;3_EdwardH.WhiteHigh_9-12_0.4mi"	"0.31"	"2,849"	NA	105620000	NA	1966	NA	"SingleFamily"	NA	"2.5"	"3"	NA
"51"	51	44483553	"7,15,000"	195	"03/21/17_Listed_for_sale_715,000_195_Owner;01/01/17_Listing_removed_730,000_199_San_Marco-_San;09/19/16_Price_change_730,000_199_San_Marco-_San"	NA	"https://www.zillow.com/homedetails/44483553_zpid/"	"4171AlhambraDrW,Jacksonville,FL32207"	"32207"	"Miramar"	"9_HendricksAvenueElementary_K-5_1.0mi;5_AlfredI.DupontMiddle_6-8_2.7mi;4_SamuelW.WolfsonHigh_9-12_3.5mi"	"0.32"	"3,661"	NA	832870000	1	1955	1999	"SingleFamily"	"Contemporary"	"2"	"3"	NA
"52"	52	44420771	"3,39,777"	80	NA	"2015_3,837_220,965;2014_3,784_215,789;2013_3,572_204,424"	"https://www.zillow.com/homedetails/44420771_zpid/"	"7462TinternCirN,Jacksonville,FL32244"	"32244"	"OakHill"	"2_JacksonvilleHeightsElementary_K-5_0.6mi;2_JeffersonDavisMiddle_6-8_1.3mi;2_NathanB.ForrestHigh_9-12_0.7mi"	"0.83"	"4,224"	"872494"	146340000	0	1966	NA	"SingleFamily"	NA	"4"	"4"	NA
"53"	53	44495491	"1,14,900"	84	"03/22/17_Listed_for_sale_114,900+313%;04/08/13_Sold_87,500_Karen_Hnyla;03/01/13_Listing_removed_88,000"	NA	"https://www.zillow.com/homedetails/44495491_zpid/"	"7229WonderLn,Jacksonville,FL32244"	"32244"	"OrtegaHills"	"4_VenetiaElementary_K-5_2.2mi;2_J.E.B.StuartMiddle_6-8_2.9mi;3_RobertE.LeeHigh_9-12_5.7mi"	"8,850"	"1,376"	"872871"	985690000	1	1957	1990	"SingleFamily"	"Ranch"	"2"	"3"	NA
"54"	54	44412038	"1,69,900"	85	NA	NA	"https://www.zillow.com/homedetails/44412038_zpid/"	"1609SaddlebrookLn,Jacksonville,FL32221"	"32221"	"NormandyEstate"	"5_CrystalSpringsElementary_PK-5_0.6mi;3_JosephStilwellMiddle_6-8_1.8mi;3_EdwardH.WhiteHigh_9-12_2.2mi"	"6,534"	"2,002"	"870034"	88063620	NA	1997	NA	"SingleFamily"	"Other"	"2"	"3"	NA
"55"	55	44467972	"1,23,000"	61	NA	NA	"https://www.zillow.com/homedetails/44467972_zpid/"	"5045LawnviewSt,Jacksonville,FL32205"	"32205"	"Normandy"	"3_RamonaBoulevardElementary_K-5_0.7mi;2_LakeShoreMiddle_6-8_2.5mi;3_RobertE.LeeHigh_9-12_1.8mi"	NA	"2,010"	"872587"	599480000	NA	1949	NA	"SingleFamily"	NA	"2"	"4"	NA
"56"	56	NA	NA	NA	NA	NA	"https://www.zillow.com/homedetails/128660573_zpid/"	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	57	2103647269	"3,05,490"	90	NA	NA	"https://www.zillow.com/homedetails/2103647269_zpid/"	"JulienBonusPlan,Longleaf60'HomesitesJacksonville,FL32222"	"32222"	"ChimneyLakes"	"4_EnterpriseLearningAcademy_PK-5_0.4mi;2_JeffersonDavisMiddle_6-8_4.8mi;2_NathanB.ForrestHigh_9-12_4.3mi"	NA	"3,376"	NA	NA	2	2017	NA	"SingleFamily"	NA	"4"	"5"	NA
"58"	58	44497670	"3,85,000"	193	NA	NA	"https://www.zillow.com/homedetails/44497670_zpid/"	"4248GreatOaksLn,Jacksonville,FL32207"	"32207"	"Miramar"	"9_HendricksAvenueElementary_K-5_1.0mi;5_AlfredI.DupontMiddle_6-8_2.4mi;4_SamuelW.WolfsonHigh_9-12_3.2mi"	"10,282"	"1,998"	"872684"	994970000	1	1942	1985	"SingleFamily"	"Bungalow"	"3"	"3"	7
"59"	59	44500309	"5,85,000"	246	"03/20/17_Listed_for_sale_585,000_246_NORVILLE_REALT;07/18/97_Sold_237,900_100;Public_Record"	"2015_5,340_310,405;2014_5,351_307,942;2013_5,290_303,392"	"https://www.zillow.com/homedetails/44500309_zpid/"	"4757PiratesBayDr,Jacksonville,FL32210"	"32210"	"Venetia"	"10_JohnStocktonElementary_K-5_0.6mi;2_LakeShoreMiddle_6-8_1.9mi;3_RobertE.LeeHigh_9-12_3.5mi"	NA	"2,375"	"872389"	1021531016	NA	1984	NA	"SingleFamily"	NA	"3"	"3"	NA
"60"	60	44498994	"4,85,000"	157	NA	NA	"https://www.zillow.com/homedetails/44498994_zpid/"	"4637OrtegaForestDr,Jacksonville,FL32210"	"32210"	"OrtegaForest"	"10_JohnStocktonElementary_K-5_0.5mi;2_LakeShoreMiddle_6-8_1.2mi;3_RobertE.LeeHigh_9-12_2.9mi"	NA	"3,082"	"872839"	1009370000	NA	1956	NA	"SingleFamily"	NA	"4"	"3"	NA
"61"	61	44483408	"8,49,900"	248	NA	NA	"https://www.zillow.com/homedetails/44483408_zpid/"	"804AlhambraDrS,Jacksonville,FL32207"	"32207"	"Miramar"	"9_HendricksAvenueElementary_K-5_0.9mi;5_AlfredI.DupontMiddle_6-8_2.6mi;4_SamuelW.WolfsonHigh_9-12_3.5mi"	"0.26"	"3,432"	"872545"	831400000	2	1948	1970	"SingleFamily"	NA	"4"	"4"	NA
"62"	62	44411176	"10,00,000"	441	NA	NA	"https://www.zillow.com/homedetails/44411176_zpid/"	"1209HammondBlvd,Jacksonville,FL32221"	"32221"	"NormandyEstate"	"5_CrystalSpringsElementary_PK-5_0.1mi;3_JosephStilwellMiddle_6-8_1.3mi;3_EdwardH.WhiteHigh_9-12_2.0mi"	"1.61"	"2,266"	"872158"	87540000	1	1989	1989	"Mobile/Manufactured"	NA	"2"	"3"	NA
"63"	63	2094869610	"3,49,000"	98	NA	NA	"https://www.zillow.com/homedetails/2094869610_zpid/"	"4447SaintJohnsAve#1,Jacksonville,FL32210"	"32210"	"Fairfax"	"9_FishweirElementary_PK-5_0.4mi;2_LakeShoreMiddle_6-8_1.0mi;3_RobertE.LeeHigh_9-12_1.5mi"	NA	"3,565"	"873030"	NA	2	1952	NA	"MultiFamily"	NA	"4"	"6"	NA
"64"	64	44490573	"2,20,000"	180	NA	NA	"https://www.zillow.com/homedetails/44490573_zpid/"	"3843HollingsworthSt,Jacksonville,FL32205"	"32205"	"Avondale"	"9_FishweirElementary_PK-5_0.5mi;2_LakeShoreMiddle_6-8_1.7mi;3_RobertE.LeeHigh_9-12_0.9mi"	"7"	"1,221"	"873019"	931760000	NA	1938	NA	"SingleFamily"	"Bungalow"	NA	"3"	NA
"65"	65	44490151	"4,85,000"	263	NA	NA	"https://www.zillow.com/homedetails/44490151_zpid/"	"1947MorningsideSt,Jacksonville,FL32205"	"32205"	"Avondale"	"9_FishweirElementary_PK-5_0.5mi;2_LakeShoreMiddle_6-8_1.5mi;3_RobertE.LeeHigh_9-12_1.1mi"	"9,800"	"1,844"	"873015"	927230000	1	1953	1970	"SingleFamily"	"Ranch"	"2"	"3"	9
"66"	66	44480776	"4,15,000"	167	NA	NA	"https://www.zillow.com/homedetails/44480776_zpid/"	"1495AvondaleAve,Jacksonville,FL32205"	"32205"	"Avondale"	"2_WestRiversideElementary_PK-5_0.6mi;2_LakeShoreMiddle_6-8_2.3mi;3_RobertE.LeeHigh_9-12_0.3mi"	"0.25"	"2,481"	"867871"	795730000	2	1922	1970	"SingleFamily"	"Colonial"	"3"	"3"	NA
"67"	67	81793932	"49,900"	45	"03/23/17_Listed_for_sale_49,900+2,526%_44_ALLISON_JAMES;02/01/16_Sold:_Foreclosure_Auction_1,900_1;Public_Record;01/14/16_Sold:_Foreclosure_Auction_1,900-984%_1;Public_Record"	NA	"https://www.zillow.com/homedetails/81793932_zpid/"	"1418ManotakPointDrUNIT104,Jacksonville,FL32210"	"32210"	"HydePark"	"1_HydeGroveElementary_PK-5_0.9mi;2_LakeShoreMiddle_6-8_2.3mi;3_EdwardH.WhiteHigh_9-12_0.8mi"	NA	"1,118"	"873002"	114440356	2	2006	NA	"Condo"	NA	"2"	"2"	NA
"68"	68	44471483	"2,00,000"	133	NA	NA	"https://www.zillow.com/homedetails/44471483_zpid/"	"2840ForbesSt,Jacksonville,FL32205"	"32205"	"Riverside"	"2_WestRiversideElementary_PK-5_0.3mi;2_LakeShoreMiddle_6-8_2.9mi;3_RobertE.LeeHigh_9-12_0.4mi"	"6,250"	"1,507"	NA	644850000	1	1926	1965	"SingleFamily"	"Other"	NA	"2"	NA
"69"	69	44475820	"1,75,000"	140	NA	"2015_1,049_84,870;2014_1,048_84,197;2013_1,029_82,953"	"https://www.zillow.com/homedetails/44475820_zpid/"	"1798OrlandoCirS,Jacksonville,FL32207"	"32207"	"Lakewood"	"9_HendricksAvenueElementary_K-5_0.5mi;5_AlfredI.DupontMiddle_6-8_2.2mi;4_SamuelW.WolfsonHigh_9-12_2.8mi"	NA	"1,248"	"872898"	696720000	NA	1941	NA	"SingleFamily"	"Other"	NA	"3"	NA
"70"	70	44410979	"1,15,000"	75	NA	"2015_1,023_85,091;2014_1,022_84,416;2013_1,741_81,233"	"https://www.zillow.com/homedetails/44410979_zpid/"	"1658SpringOaksLn,Jacksonville,FL32221"	"32221"	"NormandyManor"	"2_NormandyVillageElementary_K-5_0.9mi;3_JosephStilwellMiddle_6-8_1.1mi;3_EdwardH.WhiteHigh_9-12_0.4mi"	NA	"1,530"	"872938"	81301870	NA	1998	NA	"SingleFamily"	NA	"2"	"3"	NA
"71"	71	44500728	"3,30,000"	136	"03/23/17_Listed_for_sale_330,000+196%_135_BERKSHIRE_HATH;10/01/10_Sold:_Foreclosure_Auction_276,000+227%_113;Public_Record;03/14/02_Sold_225,000_92;Public_Record"	"2015_3,031_189,782;2014_3,035_188,276;2013_2,997_185,494"	"https://www.zillow.com/homedetails/44500728_zpid/"	"4263GaribaldiAve,Jacksonville,FL32210"	"32210"	"Venetia"	"4_VenetiaElementary_K-5_0.1mi;2_LakeShoreMiddle_6-8_2.5mi;3_RobertE.LeeHigh_9-12_3.7mi"	"6,599"	"2,429"	"872937"	1025330000	2	1967	1970	"SingleFamily"	NA	"3"	"5"	NA
"72"	72	44467180	"23,000"	22	"03/23/17_Listed_for_sale_23,000-693%_22_NECA_DAVIDSON;01/28/04_Sold_75,000_72;Public_Record"	"2015_198_26,363;2014_707_27,508;2013_674_25,628"	"https://www.zillow.com/homedetails/44467180_zpid/"	"3510FitzgeraldSt,Jacksonville,FL32254"	"32254"	"Lackawanna"	"6_PinedaleElementary_PK-5_0.5mi;3_RobertE.LeeHigh_9-12_1.3mi;10_JamesWeldonJohnsonCollegePrepartory..._6-8_1.3mi"	NA	"1,035"	"872931"	587230005	NA	1971	NA	"SingleFamily"	"Bungalow"	"2"	"3"	NA
"73"	73	44415512	"65,000"	59	NA	NA	"https://www.zillow.com/homedetails/44415512_zpid/"	"2082NavahoAve,Jacksonville,FL32210"	"32210"	"HydePark"	"1_HydeGroveElementary_PK-5_0.2mi;2_LakeShoreMiddle_6-8_2.2mi;3_EdwardH.WhiteHigh_9-12_0.8mi"	"0.26"	"1,095"	NA	116190080	1	1952	1970	"SingleFamily"	NA	NA	"3"	NA
"74"	74	44493737	"59,900"	60	NA	NA	"https://www.zillow.com/homedetails/44493737_zpid/"	"6914TampicoRdS,Jacksonville,FL32244"	"32244"	"OakHill"	"1_OakHillElementary_PK-5_0.8mi;2_JeffersonDavisMiddle_6-8_0.9mi;2_NathanB.ForrestHigh_9-12_0.6mi"	"0.32"	"1,002"	"872165"	967420000	NA	1962	NA	"SingleFamily"	NA	NA	"3"	NA
"75"	75	44495601	"1,20,000"	89	NA	NA	"https://www.zillow.com/homedetails/44495601_zpid/"	"7332MidwayRd,Jacksonville,FL32244"	"32244"	"OrtegaHills"	"4_VenetiaElementary_K-5_2.3mi;2_J.E.B.StuartMiddle_6-8_2.8mi;3_RobertE.LeeHigh_9-12_5.8mi"	NA	"1,353"	"872206"	986890000	NA	1958	NA	"SingleFamily"	NA	"2"	"4"	NA
"76"	76	44503898	"2,20,000"	112	"03/13/17_Listed_for_sale_220,000_112_BERKSHIRE_HATH;05/25/78_Sold_59,000_30;Public_Record"	NA	"https://www.zillow.com/homedetails/44503898_zpid/"	"4325BuckPointRd,Jacksonville,FL32210"	"32210"	"ConfederatePoint"	"2_StonewallJacksonElementary_K-5_0.5mi;2_J.E.B.StuartMiddle_6-8_0.5mi;2_NathanB.ForrestHigh_9-12_2.0mi"	"0.3"	"1,962"	"871365"	1046310902	NA	1978	NA	"SingleFamily"	"Other"	"2"	"4"	NA
"77"	77	44430267	"1,35,000"	75	NA	"2015_467_60,186;2014_470_59,709;2013_467_58,827"	"https://www.zillow.com/homedetails/44430267_zpid/"	"4504AnversBlvd,Jacksonville,FL32210"	"32210"	"CedarHills"	"2_CedarHillsElementary_PK-5_0.1mi;2_J.E.B.StuartMiddle_6-8_1.0mi;2_NathanB.ForrestHigh_9-12_1.1mi"	NA	"1,804"	"871765"	171280000	NA	1958	NA	"SingleFamily"	"Other"	"2"	"3"	NA
"78"	78	44490345	"1,99,000"	123	"03/15/17_Listed_for_sale_199,000_122_FRED_MILLER_GR"	"2015_805_68,334;2014_810_67,792;2013_806_66,791"	"https://www.zillow.com/homedetails/44490345_zpid/"	"3934ParkSt,Jacksonville,FL32205"	"32205"	"Avondale"	"9_FishweirElementary_PK-5_0.4mi;2_LakeShoreMiddle_6-8_1.5mi;3_RobertE.LeeHigh_9-12_1.1mi"	"0.51"	"1,618"	"871641"	929310000	NA	1937	NA	"SingleFamily"	NA	"2"	"3"	NA
"79"	79	71036438	"1,64,900"	103	NA	"2015_1,960_92,386;2014_1,798_83,988;2013_1,720_79,509"	"https://www.zillow.com/homedetails/71036438_zpid/"	"6479CrimsonLeafLn,Jacksonville,FL32244"	"32244"	"OakHill"	"1_SadieT.TillisElementary_K-5_1.0mi;2_JeffersonDavisMiddle_6-8_1.5mi;2_NathanB.ForrestHigh_9-12_1.1mi"	"5,998"	"1,608"	"871286"	158621540	NA	2005	NA	"SingleFamily"	"Contemporary"	"2"	"4"	NA
"80"	80	44488370	"2,15,000"	164	NA	NA	"https://www.zillow.com/homedetails/44488370_zpid/"	"1846MargaretStAPT2A,Jacksonville,FL32204"	"32204"	"Riverside"	"2_WestRiversideElementary_PK-5_1.0mi;2_LakeShoreMiddle_6-8_3.6mi;3_RobertE.LeeHigh_9-12_1.5mi"	NA	"1,313"	"871581"	904840016	11	1926	NA	"Condo"	"Other"	"2"	"2"	NA
"81"	81	44481683	"3,25,000"	210	NA	NA	"https://www.zillow.com/homedetails/44481683_zpid/"	"1117RivieraSt,Jacksonville,FL32207"	"32207"	"SanMarco"	"9_HendricksAvenueElementary_K-5_1.3mi;5_AlfredI.DupontMiddle_6-8_3.9mi;4_SamuelW.WolfsonHigh_9-12_4.5mi"	"6,041"	"1,550"	"855651"	811010000	1	1936	2008	"SingleFamily"	"Bungalow"	NA	"3"	NA
"82"	82	44425337	"1,34,500"	105	NA	NA	"https://www.zillow.com/homedetails/44425337_zpid/"	"7553KestrelDr,Jacksonville,FL32222"	"32222"	"SettlersLanding"	"4_EnterpriseLearningAcademy_PK-5_1.4mi;2_JeffersonDavisMiddle_6-8_3.9mi;2_NathanB.ForrestHigh_9-12_3.3mi"	"0.42"	"1,278"	"872516"	162820136	1	1985	1985	"SingleFamily"	NA	"2"	"3"	NA
"83"	83	122976143	"1,59,900"	106	NA	NA	"https://www.zillow.com/homedetails/122976143_zpid/"	"7435WestlandOaksDr,Jacksonville,FL32244"	"32244"	"Duclay"	"1_SadieT.TillisElementary_K-5_1.1mi;2_J.E.B.StuartMiddle_6-8_2.9mi;2_NathanB.ForrestHigh_9-12_2.3mi"	NA	"1,503"	"871740"	159112945	NA	2013	NA	"SingleFamily"	NA	"2"	"3"	NA
"84"	84	44419255	"99,900"	106	NA	NA	"https://www.zillow.com/homedetails/44419255_zpid/"	"5124GlenAlanCtN,Jacksonville,FL32210"	"32210"	"CedarHills"	"1_OakHillElementary_PK-5_0.8mi;2_JeffersonDavisMiddle_6-8_0.7mi;2_NathanB.ForrestHigh_9-12_0.5mi"	"3,484"	"942"	"871748"	139361250	1	1991	NA	"SingleFamily"	NA	"2"	"2"	NA
"85"	85	44408251	"1,44,900"	106	NA	NA	"https://www.zillow.com/homedetails/44408251_zpid/"	"8612MayallDr,Jacksonville,FL32220"	"32220"	"Whitehouse"	"5_ThomasJeffersonElementary_K-5_0.7mi;3_JosephStilwellMiddle_6-8_1.4mi;3_EdwardH.WhiteHigh_9-12_2.7mi"	NA	"1,361"	"872053"	62234950	NA	1996	NA	"SingleFamily"	NA	"2"	"3"	NA
"86"	86	2114570710	"2,35,000"	162	NA	NA	"https://www.zillow.com/homedetails/2114570710_zpid/"	"2897ForbesSt,Jacksonville,FL32205"	"32205"	"Riverside"	"2_WestRiversideElementary_PK-5_0.5mi;2_LakeShoreMiddle_6-8_2.8mi;3_RobertE.LeeHigh_9-12_0.4mi"	"6,250"	"1,450"	"872017"	NA	0	1927	NA	"SingleFamily"	"Bungalow"	"2"	"3"	NA
"87"	87	44495497	"94,900"	70	NA	NA	"https://www.zillow.com/homedetails/44495497_zpid/"	"5014OrtegaHillsDr,Jacksonville,FL32244"	"32244"	"OrtegaHills"	"4_VenetiaElementary_K-5_2.1mi;2_J.E.B.StuartMiddle_6-8_2.9mi;3_RobertE.LeeHigh_9-12_5.7mi"	NA	"1,365"	"871551"	985750000	NA	1957	NA	"SingleFamily"	NA	"2"	"4"	NA
"88"	88	44494647	"52,500"	77	NA	NA	"https://www.zillow.com/homedetails/44494647_zpid/"	"6014LynnwoodAve,Jacksonville,FL32210"	"32210"	"ConfederatePoint"	"2_CedarHillsElementary_PK-5_0.8mi;2_J.E.B.StuartMiddle_6-8_0.3mi;2_NathanB.ForrestHigh_9-12_1.6mi"	"7,311"	"684"	NA	975080000	1	1944	1944	"SingleFamily"	NA	NA	"2"	6
"89"	89	44494584	"89,000"	68	NA	NA	"https://www.zillow.com/homedetails/44494584_zpid/"	"5115JammesRd,Jacksonville,FL32210"	"32210"	"CedarHills"	"2_CedarHillsElementary_PK-5_0.6mi;2_J.E.B.StuartMiddle_6-8_0.7mi;2_NathanB.ForrestHigh_9-12_1.2mi"	"7,405"	"1,305"	"871835"	974250000	NA	1962	NA	"SingleFamily"	"Other"	"2"	"4"	NA
"90"	90	66136307	"1,28,900"	118	NA	NA	"https://www.zillow.com/homedetails/66136307_zpid/"	"5375OrtegaFarmsBlvdUNIT1006,Jacksonville,FL32210"	"32210"	"OrtegaFarms"	"1_TimucuanElementary_PK-5_0.8mi;2_J.E.B.StuartMiddle_6-8_1.6mi;2_NathanB.ForrestHigh_9-12_3.3mi"	NA	"1,090"	"871632"	1035301356	3	1969	NA	"Condo"	NA	"2"	"2"	NA
"91"	91	44480400	"1,10,000"	67	NA	NA	"https://www.zillow.com/homedetails/44480400_zpid/"	"1003BrierfieldDr,Jacksonville,FL32205"	"32205"	"MurrayHill"	"2_RuthN.UpsonElementary_PK-5_0.7mi;2_LakeShoreMiddle_6-8_2.6mi;3_RobertE.LeeHigh_9-12_0.6mi"	"10,086"	"1,634"	"871810"	791510000	1	1952	2008	"SingleFamily"	"Other"	"2"	"3"	NA
"92"	92	44473999	":7,40519547:69:108:199953,500<U+2122>:<U+00A0>60"	NA	NA	NA	"https://www.zillow.com/homedetails/44473999_zpid/"	"5302RedracSt,Jacksonville,FL32205"	"32205"	"Hillcrest"	"1_HydeParkElementary_PK-5_0.7mi;2_LakeShoreMiddle_6-8_1.9mi;3_RobertE.LeeHigh_9-12_2.1mi"	"7,405"	"1,115"	NA	675760000	NA	1954	NA	"SingleFamily"	NA	NA	"3"	NA
"93"	93	44413443	"1,15,000"	93	NA	NA	"https://www.zillow.com/homedetails/44413443_zpid/"	"1721DupreDr,Jacksonville,FL32221"	"32221"	"NormandyManor"	"2_NormandyVillageElementary_K-5_0.4mi;3_JosephStilwellMiddle_6-8_1.2mi;3_EdwardH.WhiteHigh_9-12_0.9mi"	NA	"1,232"	"872295"	93800000	NA	1958	NA	"SingleFamily"	NA	"2"	"3"	NA
"94"	94	44418711	":04219567:135:216:200647,300"	NA	NA	NA	"https://www.zillow.com/homedetails/44418711_zpid/"	"8223HewittSt,Jacksonville,FL32244"	"32244"	"JacksonvilleHeights"	"2_JacksonvilleHeightsElementary_K-5_0.7mi;2_JeffersonDavisMiddle_6-8_1.7mi;2_NathanB.ForrestHigh_9-12_1.3mi"	"0.42"	"1,204"	NA	136550000	NA	1956	NA	"SingleFamily"	NA	"2"	"4"	NA
"95"	95	44430000	":02719587:284:7675:201389,000"	NA	NA	NA	"https://www.zillow.com/homedetails/44430000_zpid/"	"4218AnversBlvd,Jacksonville,FL32210"	"32210"	"CedarHills"	"2_CedarHillsElementary_PK-5_0.2mi;2_J.E.B.StuartMiddle_6-8_1.0mi;2_NathanB.ForrestHigh_9-12_1.2mi"	"0.27"	"1,804"	NA	168560000	NA	1958	NA	"SingleFamily"	NA	"2"	"3"	NA
"96"	96	82979858	"1,25,000"	56	NA	NA	"https://www.zillow.com/homedetails/82979858_zpid/"	"4029LenoxAve,Jacksonville,FL32254"	"32254"	"Lackawanna"	"6_PinedaleElementary_PK-5_0.2mi;3_RobertE.LeeHigh_9-12_1.3mi;10_JamesWeldonJohnsonCollegePrepartory..._6-8_1.4mi"	"5,250"	"2,220"	"856269"	589100000	2	1945	1945	"Miscellaneous"	NA	"7"	NA	8
"97"	97	44480808	"4,65,000"	235	NA	NA	"https://www.zillow.com/homedetails/44480808_zpid/"	"1444AvondaleAve,Jacksonville,FL32205"	"32205"	"Avondale"	"2_WestRiversideElementary_PK-5_0.7mi;2_LakeShoreMiddle_6-8_2.3mi;3_RobertE.LeeHigh_9-12_0.2mi"	"5,828"	"1,980"	"872138"	796050000	2	1924	1980	"SingleFamily"	"Other"	"3"	"4"	NA
"98"	98	44411345	"1,30,000"	100	NA	NA	"https://www.zillow.com/homedetails/44411345_zpid/"	"8531ThimsAve,Jacksonville,FL32221"	"32221"	"NormandyEstate"	"5_CrystalSpringsElementary_PK-5_0.5mi;3_JosephStilwellMiddle_6-8_1.1mi;3_EdwardH.WhiteHigh_9-12_1.6mi"	"8,363"	"1,300"	NA	88060254	1	1975	1975	"Miscellaneous"	"Ranch"	"2"	"3"	NA
"99"	99	44425064	"90,000"	94	NA	NA	"https://www.zillow.com/homedetails/44425064_zpid/"	"7585PheasantRunDr,Jacksonville,FL32244"	"32244"	"SettlersLanding"	"4_EnterpriseLearningAcademy_PK-5_1.8mi;2_JeffersonDavisMiddle_6-8_3.7mi;2_NathanB.ForrestHigh_9-12_3.1mi"	NA	"960"	"871890"	161731006	NA	1984	NA	"SingleFamily"	NA	"2"	"3"	NA
"100"	100	44472132	":7,84019497:688:7524:198846,500<U+2122>:<U+00A0>29"	NA	NA	NA	"https://www.zillow.com/homedetails/44472132_zpid/"	"1238PlymouthPl,Jacksonville,FL32205"	"32205"	"MurrayHill"	"2_RuthN.UpsonElementary_PK-5_0.3mi;2_LakeShoreMiddle_6-8_1.8mi;3_RobertE.LeeHigh_9-12_1.1mi"	"7,840"	"1,423"	NA	655100000	NA	1949	NA	"SingleFamily"	NA	"2"	"3"	NA
"101"	101	44472291	"1,56,500"	128	NA	NA	"https://www.zillow.com/homedetails/44472291_zpid/"	"1376LambollAve,Jacksonville,FL32205"	"32205"	"MurrayHill"	"1_HydeParkElementary_PK-5_0.8mi;2_LakeShoreMiddle_6-8_1.4mi;3_RobertE.LeeHigh_9-12_1.5mi"	"0.32"	"1,222"	"871595"	656810000	NA	1966	NA	"SingleFamily"	NA	"2"	"3"	NA
"102"	102	81803592	"66,000"	57	NA	NA	"https://www.zillow.com/homedetails/81803592_zpid/"	"5100PlaypenDr#3-16,Jacksonville,FL32210"	"32210"	"JacksonvilleHeights"	"3_GregoryDriveElementary_K-5_0.7mi;2_JeffersonDavisMiddle_6-8_1.1mi;2_NathanB.ForrestHigh_9-12_0.9mi"	NA	"1,157"	"871343"	138300730	0	2006	NA	"Condo"	NA	"2"	"3"	NA
